	drug catabolic process	antibiotic catabolic process	hydrogen peroxide metabolic process	hydrogen peroxide catabolic process	cellular response to hypoxia	antibiotic metabolic process	cellular response to decreased oxygen levels	cellular response to oxygen levels	reactive oxygen species metabolic process	cofactor catabolic process	cellular oxidant detoxification	cellular detoxification	response to hypoxia	cellular response to toxic substance	response to oxidative stress	response to decreased oxygen levels	response to oxygen levels
AT1G72240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G01040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G13890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G64810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G26120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G57260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G53160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G61890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G18250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G38530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G66180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G50140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G39320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G61820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G16130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT1G47400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G41750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G45220	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G27510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G08090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G37130	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G09290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G64100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G53625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G67470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G66920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G02330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G46150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G01080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G44990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G54420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G04490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G24010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G14870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G13520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G16170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G55990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G43510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G09876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G06830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G16240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G76955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G05340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G09530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G21100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G33790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G25470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G23810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G36610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G26290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G64170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G09520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G13900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G39670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G28720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G28400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G27660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G33610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G57480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G04495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G55380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G23510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G67620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G30860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G15518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G37295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G20350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G72070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G53150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G35930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G13320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G23190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G21120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G28340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G30766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G30750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G28380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G21550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G53830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G44370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G13580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G57560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G39330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G27280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G61390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G24130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G50400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G05450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26380	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
AT5G61600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G41040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G45060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G10500	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AT5G16530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G43570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G11430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G70170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G36622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G15610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G29110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G11280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G66090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G68850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G30370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G55090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G59550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G12880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G01380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G35210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G30210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G37010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G47395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G17740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G25260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G61160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G18250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G46400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G56970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G47050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G04150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G47510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G21140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G05440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G06090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G57650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G50770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G52400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G40020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G65090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G77380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G60540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G49520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G04500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G01300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G03350	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
AT1G26410	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
AT1G01560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G15510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G13660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G66960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G53620	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
AT1G72940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G07475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G24080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G12977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G67980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G74010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G13550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G59850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G43580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G37990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G46080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G25440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G38240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G45760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G47230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G23810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G59920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G41160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G67450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G22470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G56870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G07900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G80820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G52630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G19410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G33080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G19190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
